"name","selected","shared name"
"""morphogenesis""","false","""morphogenesis"""
"""gibberellin""","false","""gibberellin"""
"""cell growth""","false","""cell growth"""
"""ethylene""","false","""ethylene"""
"""chromatin""","false","""chromatin"""
"""light""","false","""light"""
"""vesicle""","false","""vesicle"""
"""cytoskeleton""","false","""cytoskeleton"""
"""nitrogen""","false","""nitrogen"""
"""water""","false","""water"""
