"name","selected","shared name"
"""morphogenesis""","false","""morphogenesis"""
"Cell growth","false","Cell growth"
"""chromatin""","false","""chromatin"""
"""light""","false","""light"""
"""vesicle""","false","""vesicle"""
"""lipid""","false","""lipid"""
"""cytoskeleton""","false","""cytoskeleton"""
"""nitrogen""","false","""nitrogen"""
"""water""","false","""water"""
"""metal ion""","false","""metal ion"""
