TF	Target	OddsRatio
AT2G24260	AT2G43550	0
AT2G24260	AT3G20340	0
AT2G24260	AT5G18920	0
AT2G24260	AT2G26740	0
AT2G24260	AT2G37250	0
AT2G24260	AT3G55240	0
AT2G24260	AT3G12970	0
AT2G24260	AT1G18740	0
AT2G24260	AT4G34490	0.874226963512678
AT2G24260	AT2G22470	0
AT2G41070	AT2G20180	0.56148536988432
AT2G41070	AT1G20670	0.887378254820115
AT2G41070	AT5G53220	0.468687609501691
AT2G41070	AT4G02425	0
AT2G41070	AT5G66130	0
AT1G68810	AT1G49720	0.534664883066562
AT1G68810	AT1G72210	0
AT1G68810	AT1G01060	0.480746064055166
AT1G68810	AT4G24240	0
AT1G68810	AT5G11420	0.53621352847359
AT1G68810	AT5G57345	0.769389934588173
AT1G68810	AT2G36885	0.907599309153713
AT1G68810	AT2G46910	0.826216484607746
AT4G38900	AT2G45880	0.850254685722763
AT4G38900	AT5G21930	0.976939203354298
AT4G38900	AT2G01980	0.568742247581245
AT4G38900	AT1G17210	0.667708822542771
AT4G38900	AT4G36910	0.241155386885937
AT4G17880	AT1G77920	0.490806945863126
AT4G17880	AT1G18400	0.759773966752086
AT4G17880	AT3G09600	0
AT4G17880	AT3G02380	0.952573742047426
AT4G17880	AT1G68440	0.786126018684158
AT4G17880	AT1G78130	0.942137953579601
AT4G17880	AT4G29540	0
AT4G17880	AT2G20340	0.459239780062156
AT2G31280	AT5G22608	0.738818403178265
AT2G31280	AT3G46790	0.637010280633509
AT5G44080	AT1G10120	0.711010112976705
AT5G44080	AT1G32640	0.982253532354172
AT5G44080	AT3G58120	0.835524806689112
AT5G44080	AT1G27660	0.314358326273834
AT5G44080	AT4G02020	0.790318485400453
AT5G44080	AT2G44730	0.504690397738526
AT5G44080	AT5G55840	0.565309006172687
AT5G44080	AT3G05210	0.649836345196386
AT5G44080	AT1G59620	0.49928754630949
AT5G44080	AT5G63160	0.671655950247707
AT5G44080	AT4G36032	0.421657917679138
AT5G44080	AT4G36890	0.758468918451115
AT5G44080	AT3G48090	0.200335097001764
AT5G44080	AT2G01150	0.744579963646901
AT5G44080	AT5G01170	0.841851851851852
AT5G39860	AT1G51140	0.884297520661157
AT5G39860	AT5G63790	0
AT5G39860	AT1G04250	0
AT5G39860	AT5G48540	0
AT4G30180	AT5G07010	0
AT1G63650	AT5G28770	0.480807577268195
AT1G63650	AT2G46830	0.718688248896363
AT1G63650	AT4G29540	0
AT1G63650	AT3G59765	0
AT1G63650	AT5G67460	0
AT2G40950	AT5G63700	0.757241191303755
AT1G61660	AT4G36540	0.8315958128605
AT1G61660	AT2G01150	0.699029126213592
AT3G06590	AT3G12250	0.669854227405248
AT3G06590	AT2G45990	0.999377667140825
AT3G06590	AT1G73500	0.750592261121348
AT3G06590	AT5G01200	0.99600590431536
AT1G02340	AT1G58340	0
AT1G02340	AT4G39640	0
AT3G07340	AT1G74090	0.821656050955414
AT3G07340	AT2G45680	0.968772898934671
AT2G27230	AT4G36930	0.739276703111859
AT2G27230	AT3G09600	0.295855379188713
AT2G27230	AT1G07810	0.929747660229831
AT2G27230	AT2G45880	0.835972413793103
AT2G27230	AT5G02860	0.732562628689087
AT2G27230	AT4G36910	0.913520391727337
AT2G27230	AT4G24760	0.521037226744718
AT2G27230	AT2G16630	0.314511684303351
AT2G27230	AT2G23348	0
AT3G19290	AT3G57570	0.912187449151163
AT3G19290	AT5G27970	0.808764501359771
AT3G19290	AT5G46410	0.957621892874609
AT4G01120	AT5G56180	0.635964912280702
AT4G01120	AT5G02280	0.569428066037736
AT4G01120	AT1G68650	0
AT4G01120	AT3G25400	0.938836803441698
