TF	Target	OddsRatio
AT4G36060	AT1G72040	6.48204264870932
AT4G36060	AT4G19010	14.9103535353535
AT4G00480	AT5G50915	3.18821073449431
AT4G00480	AT1G09490	3.70498971193416
AT5G53210	AT5G53210	Inf
AT5G53210	AT2G41130	4.49809014514897
AT5G53210	AT5G14640	4.34984984984985
AT5G53210	AT3G17580	2.77567886658796
AT5G53210	AT5G07860	5.88611388611389
AT5G53210	AT5G23820	19.3980263157895
AT2G42280	AT2G41070	3.96351351351351
AT2G42280	AT3G26750	3.20081632653061
AT3G23690	AT5G67370	3.02952127659574
AT3G23690	AT5G25240	3.54896787210927
AT2G16770	AT2G16770	Inf
AT2G16770	AT4G33000	4.10644257703081
AT2G16770	AT5G54930	3.44152046783626
AT4G35040	AT5G41100	4.33873836891078
AT4G35040	AT4G18520	3.45535714285714
AT2G35530	AT2G17570	3.07273918741809
AT2G35530	AT3G49530	2.87994880546075
AT2G35530	AT5G47420	2.76510679403241
AT3G12250	AT4G36730	3.18871587462083
AT3G12250	AT2G42300	3.07931908728721
AT3G12250	AT5G15910	2.91192614770459
AT3G12250	AT3G54000	3.03296128357168
AT3G12250	AT2G45990	3.33294814386827
AT3G12250	AT3G02140	6.91570541259982
AT3G12250	AT5G03190	3.02032132001737
AT3G12250	AT3G18710	3.38368055555556
AT3G12250	AT4G30620	2.98440695296524
AT3G05800	AT3G21670	3.66698412698413
AT5G46690	AT5G46690	Inf
AT5G46690	AT3G17580	5.30713640469738
AT5G46690	AT5G17460	3.45665589186012
AT5G46690	AT1G19150	3.76379974326059
AT3G25710	AT1G72210	7.7562582345191
AT3G25710	AT5G18170	4.285140562249
AT3G25710	AT1G53170	7.79654255319149
AT3G25710	AT5G11420	4.15063408598825
AT3G25710	AT1G67870	2.82907268170426
AT1G69010	AT5G50840	3.01855287569573
AT1G69010	AT1G09486	3.02116129032258
AT1G69010	AT1G33290	3.13896108934321
AT5G62610	AT3G02540	2.79426266248319
AT2G13130	AT1G75200	2.90534351145038
AT2G13130	AT5G66350	3.77727856225931
AT1G03040	AT3G02140	3.08770771858984
AT1G29950	AT1G72210	2.85803237858032
AT5G15160	AT2G35840	2.95477256505094
AT5G06950	AT1G53770	3.27497194163861
AT5G06950	AT2G24390	3.19550930996714
AT5G06950	AT5G46870	4.76163381426539
AT5G06950	AT5G14710	2.79030910609858
AT5G06950	AT2G47790	3.14530838343579
AT2G41130	AT5G53210	4.49809014514897
AT2G41130	AT5G25460	3.43486606025202
AT1G72210	AT3G25710	7.7562582345191
AT1G72210	AT1G29950	2.85803237858032
AT1G72210	AT1G72210	Inf
AT1G72210	AT1G67590	2.90731830843251
AT1G72210	AT5G03150	4.27032967032967
AT1G72210	AT5G66880	3.07808764940239
AT2G42300	AT3G12250	3.07931908728721
